GU_NAM,총인구,장애인인구,장애인비율
종로구,161869,18201,11.24427778018027
중구,136488,17136,12.55494988570424
용산구,245185,24075,9.819116177580195
성동구,308979,35058,11.346402182672607
광진구,366972,37689,10.270265851345608
동대문구,363023,47613,13.115697903438624
중랑구,402024,61083,15.19386902274491
성북구,454744,53061,11.66832327639287
강북구,317695,52551,16.54133681675821
도봉구,335631,46350,13.809808986654987
노원구,537303,82026,15.266246419617982
은평구,484546,64851,13.383868611029706
서대문구,323171,37836,11.707733676598457
마포구,385925,39357,10.198095484874004
양천구,462285,52368,11.328076835718226
강서구,598273,86562,14.468645584875132
구로구,439371,54423,12.386570802351542
금천구,251820,34119,13.548963545389563
영등포구,400986,43230,10.78092501982613
동작구,408912,44205,10.81039441248973
관악구,517334,60897,11.77131215037094
서초구,435107,31668,7.278209727722147
강남구,550209,46314,8.417528611854767
송파구,682741,60840,8.911139070306309
강동구,440390,53007,12.036376847794
